Gene_ID,gene_symbol,gene_type,CTCFBSKO_rep4,CTCFBSKO_rep5,WT_rep4,WT_rep5
ENSMUSG00000052684,Jun,protein_coding,3465,4023,1718,2237
ENSMUSG00000021701,Plk2,protein_coding,203,271,758,1420
ENSMUSG00000022346,Myc,protein_coding,559,688,1370,1919
ENSMUSG00000015396,Cd83,protein_coding,1156,1065,2068,3317
ENSMUSG00000021356,Irf4,protein_coding,818,854,1529,2545
ENSMUSG00000038894,Irs2,protein_coding,1077,1006,1804,3106
ENSMUSG00000037944,Ccr7,protein_coding,648,629,1138,1847
ENSMUSG00000023034,Nr4a1,protein_coding,566,861,2386,3879
ENSMUSG00000030157,Clec2d,protein_coding,834,865,458,564
ENSMUSG00000052837,Junb,protein_coding,1445,1522,2356,3009
ENSMUSG00000024042,Sik1,protein_coding,618,765,1238,1681
ENSMUSG00000038393,Txnip,protein_coding,1349,1211,765,884
ENSMUSG00000021250,Fos,protein_coding,429,486,831,1245
ENSMUSG00000046546,Fam43a,protein_coding,847,970,1564,1853
ENSMUSG00000045382,Cxcr4,protein_coding,1897,1855,2796,3602
ENSMUSG00000020893,Per1,protein_coding,684,575,1086,1482
ENSMUSG00000030103,Bhlhe40,protein_coding,277,292,539,792
ENSMUSG00000064339,mt-Rnr2,Mt_rRNA,297273,263818,209827,267336
ENSMUSG00000091971,Hspa1a,protein_coding,264,529,34,78
ENSMUSG00000013846,St3gal1,protein_coding,431,312,700,989
ENSMUSG00000064351,mt-Co1,protein_coding,5849,5419,4088,5396
ENSMUSG00000051212,Gpr183,protein_coding,310,389,621,882
ENSMUSG00000026360,Rgs2,protein_coding,359,386,622,953
ENSMUSG00000020108,Ddit4,protein_coding,271,266,124,121
ENSMUSG00000090877,Hspa1b,protein_coding,1157,2147,49,202
ENSMUSG00000047407,Tgif1,protein_coding,306,317,537,840
ENSMUSG00000036931,Nfkbid,protein_coding,669,825,1150,1628
ENSMUSG00000027843,Ptpn22,protein_coding,177,258,411,687
ENSMUSG00000038342,Mlxip,protein_coding,561,766,1048,1570
ENSMUSG00000073676,Hspe1,protein_coding,623,715,423,435
ENSMUSG00000033730,Egr3,protein_coding,328,431,630,1016
ENSMUSG00000003545,Fosb,protein_coding,221,225,413,615
ENSMUSG00000064337,mt-Rnr1,Mt_rRNA,113667,97069,73842,105209
ENSMUSG00000016559,H3f3b,protein_coding,1478,1605,2145,2859
ENSMUSG00000026094,Stk17b,protein_coding,1791,1522,2268,3789
ENSMUSG00000018476,Kdm6b,protein_coding,588,710,977,1447
ENSMUSG00000030156,Cd69,protein_coding,422,458,715,956
ENSMUSG00000028410,Dnaja1,protein_coding,432,631,234,395
ENSMUSG00000069114,Zbtb10,protein_coding,123,155,266,447
ENSMUSG00000042406,Atf4,protein_coding,932,1191,1532,2117
ENSMUSG00000057337,Chst3,protein_coding,2125,2113,2890,3620
ENSMUSG00000040435,Ppp1r15a,protein_coding,545,637,884,1232
ENSMUSG00000051627,Hist1h1e,protein_coding,1279,1131,1758,2176
ENSMUSG00000037926,Ssh2,protein_coding,1238,1389,1784,2389
ENSMUSG00000038418,Egr1,protein_coding,558,345,1197,1588
ENSMUSG00000021127,Zfp36l1,protein_coding,1214,1070,1618,2087
ENSMUSG00000000682,Cd52,protein_coding,985,896,681,773
ENSMUSG00000049313,Sorl1,protein_coding,2690,2680,3395,4718
ENSMUSG00000035569,Ankrd11,protein_coding,1833,2221,2878,3353
ENSMUSG00000077714,Snord17,snoRNA,1546,1341,1134,1047
ENSMUSG00000048154,Kmt2d,protein_coding,3003,3593,4182,5713
ENSMUSG00000042677,Zc3h12a,protein_coding,205,206,334,529
ENSMUSG00000069833,Ahnak,protein_coding,551,806,1048,1337
ENSMUSG00000064370,mt-Cytb,protein_coding,3706,3354,2513,3689
ENSMUSG00000024975,Pdcd4,protein_coding,1225,1219,1664,2119
ENSMUSG00000064341,mt-Nd1,protein_coding,2190,2023,1612,2082
ENSMUSG00000051495,Irf2bp2,protein_coding,544,534,816,994
ENSMUSG00000005483,Dnajb1,protein_coding,743,1293,421,582
ENSMUSG00000005621,Zfp592,protein_coding,712,742,1043,1295
ENSMUSG00000036478,Btg1,protein_coding,3405,3265,4172,5534
ENSMUSG00000088088,Rmrp,ribozyme,856,962,697,761
ENSMUSG00000028214,Gem,protein_coding,94,176,254,387
ENSMUSG00000040128,Pnrc1,protein_coding,869,849,1087,1780
ENSMUSG00000026655,Fam107b,protein_coding,1457,1441,1861,2488
ENSMUSG00000021754,Map3k1,protein_coding,2777,2963,3712,4464
ENSMUSG00000032515,Csrnp1,protein_coding,302,244,445,576
ENSMUSG00000036181,Hist1h1c,protein_coding,2878,2238,3650,4221
ENSMUSG00000025980,Hspd1,protein_coding,338,405,219,308
ENSMUSG00000070327,Rnf213,protein_coding,2088,2305,2577,4233
ENSMUSG00000024014,Pim1,protein_coding,171,149,284,365
ENSMUSG00000046223,Plaur,protein_coding,255,256,367,611
ENSMUSG00000044786,Zfp36,protein_coding,1757,1490,2167,2772
ENSMUSG00000041852,Tcf20,protein_coding,1051,1079,1383,1854
ENSMUSG00000063286,Gm8995,unprocessed_pseudogene,1724,2067,2387,3236
ENSMUSG00000035268,Pkig,protein_coding,411,327,587,714
ENSMUSG00000029333,Rasgef1b,protein_coding,653,600,775,1435
ENSMUSG00000055675,Kbtbd11,protein_coding,143,179,320,326
ENSMUSG00000032053,Pou2af1,protein_coding,1239,1348,1679,2160
ENSMUSG00000039783,Kmo,protein_coding,621,662,446,594
ENSMUSG00000064363,mt-Nd4,protein_coding,1269,1266,1001,1237
ENSMUSG00000058470,Gm8369,protein_coding,232,331,419,623
ENSMUSG00000029657,Hsph1,protein_coding,870,1133,768,897
ENSMUSG00000021693,Kif2a,protein_coding,157,169,314,316
ENSMUSG00000027247,Arhgap1,protein_coding,265,192,113,176
ENSMUSG00000035356,Nfkbiz,protein_coding,222,214,315,503
ENSMUSG00000020608,Smc6,protein_coding,689,760,945,1287
ENSMUSG00000029580,Actb,protein_coding,27315,23676,22122,26811
ENSMUSG00000019302,Atp6v0a1,protein_coding,326,345,197,299
ENSMUSG00000096243,Gm24265,snRNA,630,845,607,482
ENSMUSG00000034832,Tet3,protein_coding,730,929,1097,1462
ENSMUSG00000024673,Ms4a1,protein_coding,3896,3762,3317,4016
ENSMUSG00000018143,Mafk,protein_coding,182,224,366,376
ENSMUSG00000005583,Mef2c,protein_coding,2829,2506,2081,2876
ENSMUSG00000023150,Ivns1abp,protein_coding,439,721,846,1103
ENSMUSG00000032316,Clk3,protein_coding,156,164,248,366
ENSMUSG00000037922,Bank1,protein_coding,2907,3126,2507,3278
ENSMUSG00000026358,Rgs1,protein_coding,89,163,244,285
ENSMUSG00000026288,Inpp5d,protein_coding,987,1191,1440,1775
ENSMUSG00000052565,Hist1h1d,protein_coding,1014,711,1341,1436
ENSMUSG00000026034,Clk1,protein_coding,977,1301,1378,2180
ENSMUSG00000038866,Zcchc2,protein_coding,420,459,655,744
ENSMUSG00000027293,Ehd4,protein_coding,154,180,267,356
ENSMUSG00000040592,Cd79b,protein_coding,3098,2717,2504,2908
ENSMUSG00000021457,Syk,protein_coding,4466,4831,5798,6827
ENSMUSG00000044948,Cfap43,protein_coding,328,315,467,604
ENSMUSG00000039046,Usp6nl,protein_coding,240,262,421,444
ENSMUSG00000028015,Ctso,protein_coding,336,254,172,250
ENSMUSG00000029177,Cenpa,protein_coding,155,162,238,369
ENSMUSG00000040613,Apobec1,protein_coding,77,180,234,331
ENSMUSG00000050075,Gpr171,protein_coding,227,228,324,486
ENSMUSG00000034709,Ppp1r21,protein_coding,270,321,413,594
ENSMUSG00000070934,Rraga,protein_coding,353,297,204,282
ENSMUSG00000020700,Map3k3,protein_coding,324,398,521,660
ENSMUSG00000054364,Rhob,protein_coding,445,399,270,397
ENSMUSG00000029084,Cd38,protein_coding,626,522,408,536
ENSMUSG00000052253,Zfp622,protein_coding,323,318,508,550
ENSMUSG00000066036,Ubr4,protein_coding,1858,2344,2631,3357
ENSMUSG00000028798,Eif3i,protein_coding,726,500,450,521
ENSMUSG00000035629,1700021K19Rik,protein_coding,1010,1071,1355,1649
ENSMUSG00000037999,Arap2,protein_coding,413,514,689,769
ENSMUSG00000020601,Trib2,protein_coding,254,331,433,544
ENSMUSG00000022508,Bcl6,protein_coding,244,345,396,628
ENSMUSG00000039158,Akna,protein_coding,2167,2623,3036,3636
ENSMUSG00000030655,Smg1,protein_coding,2470,2866,3305,4042
ENSMUSG00000024691,Fam111a,protein_coding,721,859,627,754
ENSMUSG00000063882,Uqcrh,protein_coding,385,334,234,330
ENSMUSG00000054499,Dedd2,protein_coding,197,222,119,176
ENSMUSG00000079003,Samd1,protein_coding,120,199,326,283
ENSMUSG00000065922,n-R5-8s1,rRNA,267,316,166,273
ENSMUSG00000020064,Herc4,protein_coding,518,620,874,871
ENSMUSG00000004568,Arhgef18,protein_coding,1474,1701,1951,2505
ENSMUSG00000069049,Eif2s3y,protein_coding,124,160,228,299
ENSMUSG00000001248,Gramd1a,protein_coding,474,746,866,1059
ENSMUSG00000004698,Hdac9,protein_coding,308,387,212,334
ENSMUSG00000035900,Gramd4,protein_coding,361,378,482,696
ENSMUSG00000028826,Tmem57,protein_coding,207,180,285,394
ENSMUSG00000051124,Gimap9,protein_coding,272,285,215,193
ENSMUSG00000028121,Bcar3,protein_coding,552,557,731,936
ENSMUSG00000036469,March1,protein_coding,921,909,1100,1574
ENSMUSG00000046562,Unc119b,protein_coding,317,261,173,270
ENSMUSG00000072620,Slfn2,protein_coding,1356,1248,1198,1066
ENSMUSG00000000915,Hip1r,protein_coding,1531,1848,2173,2538
ENSMUSG00000025880,Smad7,protein_coding,568,650,842,963
ENSMUSG00000032946,Rasgrp2,protein_coding,544,850,986,1165
ENSMUSG00000002833,Hdgfrp2,protein_coding,227,279,381,450
ENSMUSG00000049922,Slc35c1,protein_coding,249,201,149,182
ENSMUSG00000016496,Cd274,protein_coding,206,173,258,416
ENSMUSG00000058006,Mdn1,protein_coding,1000,1340,1506,1868
ENSMUSG00000029416,Slc15a4,protein_coding,582,549,433,554
ENSMUSG00000016520,Lnx2,protein_coding,170,207,312,332
ENSMUSG00000041935,AW549877,protein_coding,81,173,220,281
ENSMUSG00000073982,Rhog,protein_coding,301,283,192,271
ENSMUSG00000022791,Tnk2,protein_coding,269,357,453,549
ENSMUSG00000079523,Tmsb10,protein_coding,1378,1280,1110,1398
ENSMUSG00000026832,Cytip,protein_coding,1119,1128,1342,1839
ENSMUSG00000022387,Brd1,protein_coding,597,681,765,1153
ENSMUSG00000035329,Fbxo33,protein_coding,286,178,155,175
ENSMUSG00000028268,Gbp3,protein_coding,263,318,409,520
ENSMUSG00000020198,Ap3d1,protein_coding,499,721,796,1066
ENSMUSG00000020883,Fbxl20,protein_coding,117,160,221,279
ENSMUSG00000060586,H2-Eb1,protein_coding,6154,5659,5377,6356
ENSMUSG00000062825,Actg1,protein_coding,720,795,611,767
ENSMUSG00000024201,Kdm4b,protein_coding,174,236,292,405
ENSMUSG00000026827,Gpd2,protein_coding,339,256,194,272
ENSMUSG00000039477,Tnrc18,protein_coding,825,874,1054,1370
ENSMUSG00000022890,Atp5j,protein_coding,322,254,227,206
ENSMUSG00000039997,Ifi203,protein_coding,658,792,901,1214
ENSMUSG00000056737,Capg,protein_coding,577,594,504,504
ENSMUSG00000024063,Lbh,protein_coding,1672,1579,1397,1730
ENSMUSG00000037857,Nufip2,protein_coding,662,604,429,687
ENSMUSG00000035545,Leng8,protein_coding,412,670,774,911
ENSMUSG00000024236,Svil,protein_coding,113,169,221,286
ENSMUSG00000011256,Adam19,protein_coding,434,398,326,378
ENSMUSG00000065087,Snord22,snoRNA,284,258,208,214
ENSMUSG00000028530,Jak1,protein_coding,2665,2639,3086,4045
ENSMUSG00000038733,Wdr26,protein_coding,1096,1225,1438,1784
ENSMUSG00000021948,Prkcd,protein_coding,733,868,1061,1226
ENSMUSG00000015597,Zfp318,protein_coding,1781,2061,2236,3022
ENSMUSG00000001918,Slc1a5,protein_coding,220,345,424,498
ENSMUSG00000031827,Cotl1,protein_coding,1721,1446,1382,1596
ENSMUSG00000028426,Rad23b,protein_coding,305,377,535,527
ENSMUSG00000058761,Rnf169,protein_coding,290,248,402,458
ENSMUSG00000027508,Pag1,protein_coding,489,707,752,1063
ENSMUSG00000045165,AI467606,protein_coding,241,246,155,229
ENSMUSG00000062328,Rpl17,protein_coding,2164,2028,1976,1976
ENSMUSG00000049327,Setd8,protein_coding,185,160,258,328
ENSMUSG00000038279,Nop2,protein_coding,196,222,120,198
ENSMUSG00000003814,Calr,protein_coding,2310,2355,2828,3407
ENSMUSG00000035697,Hmha1,protein_coding,2225,3147,3467,3984
ENSMUSG00000020994,Pnn,protein_coding,312,557,582,822
ENSMUSG00000025290,Rps24,protein_coding,2217,2067,1943,2230
ENSMUSG00000022185,Acin1,protein_coding,1227,1536,1816,2019
ENSMUSG00000052713,Zfp608,protein_coding,609,660,815,1008
ENSMUSG00000036908,Unc93b1,protein_coding,2001,2215,2571,3081
ENSMUSG00000039262,Prrc2b,protein_coding,891,1159,1362,1542
ENSMUSG00000038369,Ncoa6,protein_coding,331,332,462,555
ENSMUSG00000028330,Ncbp1,protein_coding,266,280,206,232
ENSMUSG00000028385,Snx30,protein_coding,763,734,927,1214
ENSMUSG00000045795,Whamm,protein_coding,140,130,230,241
ENSMUSG00000030671,Pde3b,protein_coding,272,217,365,428
ENSMUSG00000025485,Ric8,protein_coding,303,284,210,270
ENSMUSG00000003269,Cyth2,protein_coding,111,156,192,287
ENSMUSG00000001909,Trmt1,protein_coding,179,242,276,432
ENSMUSG00000048546,Tob2,protein_coding,410,459,560,736
ENSMUSG00000045730,Adrb2,protein_coding,277,290,194,271
ENSMUSG00000058709,Egln2,protein_coding,314,398,507,581
ENSMUSG00000015355,Cd48,protein_coding,254,201,151,202
ENSMUSG00000041870,Ankrd13a,protein_coding,740,760,966,1155
ENSMUSG00000024387,Csnk2b,protein_coding,215,269,361,410
ENSMUSG00000040940,Arhgef1,protein_coding,2371,3317,3540,4300
ENSMUSG00000035621,Midn,protein_coding,568,554,423,589
ENSMUSG00000018293,Pfn1,protein_coding,2137,1965,1866,2124
ENSMUSG00000014226,Cacybp,protein_coding,265,275,174,267
ENSMUSG00000041959,S100a10,protein_coding,614,478,476,445
ENSMUSG00000021270,Hsp90aa1,protein_coding,1747,2516,1606,2407
ENSMUSG00000045817,Zfp36l2,protein_coding,2455,2637,2372,2651
ENSMUSG00000020741,Cluh,protein_coding,232,272,374,417
ENSMUSG00000020719,Ddx5,protein_coding,5394,6050,6341,8766
ENSMUSG00000001419,Mef2d,protein_coding,791,924,1141,1265
ENSMUSG00000025949,Pikfyve,protein_coding,436,530,621,801
ENSMUSG00000053841,Txlna,protein_coding,286,388,496,540
ENSMUSG00000037972,Snn,protein_coding,1234,1077,1446,1772
ENSMUSG00000030374,Strn4,protein_coding,302,385,459,590
ENSMUSG00000021096,Ppm1a,protein_coding,222,259,359,397
ENSMUSG00000031246,Sh3bgrl,protein_coding,278,196,157,214
ENSMUSG00000063952,Brpf3,protein_coding,177,210,260,374
ENSMUSG00000024334,H2-Oa,protein_coding,440,355,327,344
ENSMUSG00000028799,Zfp362,protein_coding,318,259,201,275
ENSMUSG00000055148,Klf2,protein_coding,1764,2046,2469,2668
ENSMUSG00000047417,Rexo1,protein_coding,286,440,514,607
ENSMUSG00000021880,Rnase6,protein_coding,615,580,506,578
ENSMUSG00000056116,H2-T22,protein_coding,251,280,206,227
ENSMUSG00000009013,Dynll1,protein_coding,344,323,258,309
ENSMUSG00000076609,Igkc,IG_C_gene,7469,6031,6018,7355
ENSMUSG00000030707,Coro1a,protein_coding,5131,5092,5057,4843
ENSMUSG00000055805,Fmnl1,protein_coding,1704,1740,2083,2524
ENSMUSG00000029204,Rhoh,protein_coding,822,668,678,631
ENSMUSG00000031660,Brd7,protein_coding,396,395,556,614
ENSMUSG00000039148,Sart1,protein_coding,510,450,762,672
ENSMUSG00000010142,Tnfrsf13b,protein_coding,621,667,550,634
ENSMUSG00000028800,Hdac1,protein_coding,387,335,301,306
ENSMUSG00000057841,Rpl32,protein_coding,2201,2026,1875,2314
ENSMUSG00000029647,Pan3,protein_coding,618,713,868,1013
ENSMUSG00000041642,Kif21b,protein_coding,2337,2501,2765,3638
ENSMUSG00000039879,Heca,protein_coding,221,333,370,508
ENSMUSG00000020124,Usp15,protein_coding,235,281,334,473
ENSMUSG00000020358,Hnrnpab,protein_coding,700,702,975,1004
ENSMUSG00000037958,Ccdc55,protein_coding,194,193,284,333
ENSMUSG00000000275,Trim25,protein_coding,646,808,941,1108
ENSMUSG00000034928,Rnf44,protein_coding,509,424,617,758
ENSMUSG00000040760,Appl1,protein_coding,222,247,336,395
ENSMUSG00000022000,Zc3h13,protein_coding,381,426,516,673
ENSMUSG00000050350,Gpr18,protein_coding,408,221,203,294
ENSMUSG00000041849,Card6,protein_coding,1030,798,663,1030
ENSMUSG00000036698,Ago2,protein_coding,838,908,1017,1419
ENSMUSG00000055024,Ep300,protein_coding,1257,1564,1774,2072
ENSMUSG00000022812,Gsk3b,protein_coding,199,300,336,460
ENSMUSG00000055447,Cd47,protein_coding,579,457,629,925
ENSMUSG00000039001,Rps21,protein_coding,1438,1193,1115,1408
ENSMUSG00000038848,Ythdf1,protein_coding,159,197,250,330
ENSMUSG00000028234,Rps20,protein_coding,2478,2151,2073,2494
ENSMUSG00000028820,Sfpq,protein_coding,1787,2050,2228,2906
ENSMUSG00000048271,Rbm33,protein_coding,774,844,920,1385
ENSMUSG00000000184,Ccnd2,protein_coding,510,557,427,548
ENSMUSG00000006307,Kmt2b,protein_coding,691,807,984,1112
ENSMUSG00000006676,Usp19,protein_coding,458,694,728,987
ENSMUSG00000009741,Ubp1,protein_coding,208,346,374,519
ENSMUSG00000038683,Pak1ip1,protein_coding,281,232,175,248
ENSMUSG00000022031,Elp3,protein_coding,227,183,148,175
ENSMUSG00000057335,Cep170,protein_coding,354,378,465,622
ENSMUSG00000044199,S1pr4,protein_coding,251,238,195,202
ENSMUSG00000036499,Eea1,protein_coding,197,217,292,361
ENSMUSG00000035530,Eif1,protein_coding,674,642,867,983
ENSMUSG00000040481,Bptf,protein_coding,1929,2273,2472,3121
ENSMUSG00000023977,Ubr2,protein_coding,635,687,840,1014
ENSMUSG00000041168,Lonp1,protein_coding,181,228,277,375
ENSMUSG00000024943,Smc5,protein_coding,176,234,280,376
ENSMUSG00000027677,Ttc14,protein_coding,237,393,433,554
ENSMUSG00000028580,Pum1,protein_coding,547,681,754,1002
ENSMUSG00000028964,Park7,protein_coding,360,207,210,235
ENSMUSG00000055302,Mrfap1,protein_coding,321,346,287,273
ENSMUSG00000030059,Tmf1,protein_coding,663,694,804,1111
ENSMUSG00000047880,Cxcr5,protein_coding,1506,1352,1693,2196
ENSMUSG00000034135,Sik3,protein_coding,226,278,341,439
ENSMUSG00000053286,Trmt1l,protein_coding,204,221,145,200
ENSMUSG00000030019,Fbxl14,protein_coding,252,220,157,231
ENSMUSG00000026594,Ralgps2,protein_coding,1935,2320,1955,2244
ENSMUSG00000019943,Atp2b1,protein_coding,321,345,416,583
ENSMUSG00000009073,Nf2,protein_coding,161,154,233,281
ENSMUSG00000021690,Jmy,protein_coding,152,186,253,293
ENSMUSG00000073411,H2-D1,protein_coding,4332,4241,3971,4811
ENSMUSG00000024789,Jak2,protein_coding,454,494,561,825
ENSMUSG00000038970,Lmtk2,protein_coding,462,442,605,700
ENSMUSG00000053907,Mat2a,protein_coding,449,423,316,467
ENSMUSG00000037742,Eef1a1,protein_coding,15037,13033,13066,15522
ENSMUSG00000032359,Ctsh,protein_coding,751,726,672,693
ENSMUSG00000021000,Ctage5,protein_coding,385,511,593,716
ENSMUSG00000026260,Ndufa10,protein_coding,296,165,149,208
ENSMUSG00000026553,Copa,protein_coding,1019,899,794,1053
ENSMUSG00000073491,Pydc4,protein_coding,145,219,220,393
ENSMUSG00000093674,Rpl41,protein_coding,1098,1199,1076,1125
ENSMUSG00000049323,Smcr8,protein_coding,429,400,506,712
ENSMUSG00000020694,Tlk2,protein_coding,271,275,354,473
ENSMUSG00000021326,Trim27,protein_coding,235,258,335,417
ENSMUSG00000037851,Iars,protein_coding,299,293,197,313
ENSMUSG00000036273,Lrrk2,protein_coding,1499,1751,1948,2378
ENSMUSG00000023923,Tbc1d5,protein_coding,403,351,277,392
ENSMUSG00000024858,Adrbk1,protein_coding,2148,2350,2761,3150
ENSMUSG00000025016,Tm9sf3,protein_coding,742,679,584,761
ENSMUSG00000025203,Scd2,protein_coding,283,284,213,272
ENSMUSG00000025041,Nt5c2,protein_coding,203,241,173,185
ENSMUSG00000024991,Eif3a,protein_coding,2182,2400,2749,3253
ENSMUSG00000027194,Ttc17,protein_coding,276,239,194,238
ENSMUSG00000058793,Cds2,protein_coding,335,391,476,590
ENSMUSG00000028042,Zbtb7b,protein_coding,290,221,190,230
ENSMUSG00000028639,Ybx1,protein_coding,1786,1689,2176,2456
ENSMUSG00000028634,Hivep3,protein_coding,234,279,196,232
ENSMUSG00000037443,Cep85,protein_coding,202,204,247,411
ENSMUSG00000031668,Eif2ak3,protein_coding,533,459,614,829
ENSMUSG00000074141,Il4i1,protein_coding,510,612,470,562
ENSMUSG00000000131,Xpo6,protein_coding,414,552,661,739
ENSMUSG00000031557,Plekha2,protein_coding,1055,1075,1293,1586
ENSMUSG00000019464,Ptger1,protein_coding,210,309,410,395
ENSMUSG00000001472,Tcf25,protein_coding,700,786,969,1089
ENSMUSG00000025234,Arih1,protein_coding,486,465,574,800
ENSMUSG00000035284,Vps13c,protein_coding,215,197,273,377
ENSMUSG00000042688,Mapk6,protein_coding,211,221,267,418
ENSMUSG00000031264,Btk,protein_coding,790,719,636,789
ENSMUSG00000013858,Tmem259,protein_coding,182,287,324,417
ENSMUSG00000034422,Parp14,protein_coding,696,652,854,1025
ENSMUSG00000040723,Rcsd1,protein_coding,1075,1253,1542,1613
ENSMUSG00000000751,Rpa1,protein_coding,458,410,350,434
ENSMUSG00000066043,Phactr4,protein_coding,104,170,228,233
ENSMUSG00000064368,mt-Nd6,protein_coding,683,644,530,725
ENSMUSG00000022999,Lmbr1l,protein_coding,132,208,220,347
ENSMUSG00000030691,Fchsd2,protein_coding,1702,1692,1493,1916
ENSMUSG00000035202,Lars2,protein_coding,4596,6797,38643,7192
ENSMUSG00000020790,Ankfy1,protein_coding,677,734,815,1159
ENSMUSG00000038909,Kat7,protein_coding,258,311,329,554
ENSMUSG00000044456,Rin3,protein_coding,1265,1027,1005,1194
ENSMUSG00000022558,Mroh1,protein_coding,164,154,227,285
ENSMUSG00000022403,St13,protein_coding,567,636,812,871
ENSMUSG00000061232,H2-K1,protein_coding,3646,4136,3559,4433
ENSMUSG00000014859,E2f4,protein_coding,308,395,539,504
ENSMUSG00000052593,Adam17,protein_coding,388,408,276,441
ENSMUSG00000021182,Ccdc88c,protein_coding,967,1109,1248,1558
ENSMUSG00000060012,Kif13b,protein_coding,159,124,203,266
ENSMUSG00000024073,Birc6,protein_coding,1550,1806,1933,2530
ENSMUSG00000029313,Aff1,protein_coding,918,1099,1264,1472
ENSMUSG00000040952,Rps19,protein_coding,1628,1454,1352,1703
ENSMUSG00000032009,Sesn3,protein_coding,406,279,264,321
ENSMUSG00000045322,Tlr9,protein_coding,493,488,401,506
ENSMUSG00000031256,Cstf2,protein_coding,313,306,238,305
ENSMUSG00000008668,Rps18,protein_coding,927,865,866,781
ENSMUSG00000030062,Rpn1,protein_coding,390,444,318,440
ENSMUSG00000046879,Irgm1,protein_coding,212,212,166,183
ENSMUSG00000031314,Taf1,protein_coding,480,501,644,741
ENSMUSG00000029439,Sfswap,protein_coding,273,354,400,536
ENSMUSG00000022214,Dcaf11,protein_coding,206,271,363,366
ENSMUSG00000057637,Prdm2,protein_coding,849,974,1132,1342
ENSMUSG00000026473,Glul,protein_coding,183,157,254,286
ENSMUSG00000026489,Adck3,protein_coding,298,312,373,538
ENSMUSG00000018965,Ywhah,protein_coding,338,324,241,347
ENSMUSG00000037808,Fam76b,protein_coding,352,334,446,557
ENSMUSG00000092274,Neat1,lincRNA,159,402,592,705
ENSMUSG00000006304,Arpc2,protein_coding,1437,1282,1192,1498
ENSMUSG00000016756,Cmah,protein_coding,993,892,740,1089
ENSMUSG00000022100,Xpo7,protein_coding,198,183,270,323
ENSMUSG00000106847,Peg13,sense_intronic,217,262,158,247
ENSMUSG00000052299,Ltn1,protein_coding,330,324,211,365
ENSMUSG00000002365,Snx9,protein_coding,756,707,646,747
ENSMUSG00000041203,2310036O22Rik,protein_coding,376,462,591,614
ENSMUSG00000032300,1700017B05Rik,protein_coding,222,169,253,374
ENSMUSG00000001415,Smg5,protein_coding,336,425,482,625
ENSMUSG00000040865,Ino80d,protein_coding,575,687,748,1015
ENSMUSG00000019820,Utrn,protein_coding,602,645,460,720
ENSMUSG00000048878,Hexim1,protein_coding,284,218,343,426
ENSMUSG00000024240,Epc1,protein_coding,422,360,540,593
ENSMUSG00000040451,Sgms1,protein_coding,364,327,432,582
ENSMUSG00000028790,Khdrbs1,protein_coding,1109,1042,934,1185
ENSMUSG00000029478,Ncor2,protein_coding,865,930,1060,1371
ENSMUSG00000047180,Neurl3,protein_coding,443,505,592,745
ENSMUSG00000047514,Tspyl1,protein_coding,334,338,471,501
ENSMUSG00000047139,Cd24a,protein_coding,1204,1199,1051,1346
ENSMUSG00000020265,Sumo3,protein_coding,250,279,208,250
ENSMUSG00000020894,Vamp2,protein_coding,216,247,326,369
ENSMUSG00000104213,Ighd,IG_C_gene,5769,5141,4878,6386
ENSMUSG00000000078,Klf6,protein_coding,691,648,779,1085
ENSMUSG00000044734,Serpinb1a,protein_coding,797,735,686,783
ENSMUSG00000021945,Zmym2,protein_coding,463,458,379,475
ENSMUSG00000048249,Crebrf,protein_coding,518,638,717,897
ENSMUSG00000024002,Brd4,protein_coding,1207,1290,1458,1855
ENSMUSG00000067341,H2-Eb2,protein_coding,325,249,187,309
ENSMUSG00000024393,Prrc2a,protein_coding,2192,2366,2534,3421
ENSMUSG00000024077,Strn,protein_coding,288,250,369,433
ENSMUSG00000046138,9930021J03Rik,protein_coding,133,220,239,330
ENSMUSG00000027162,Lin7c,protein_coding,146,161,215,271
ENSMUSG00000027368,Dusp2,protein_coding,879,988,1115,1400
ENSMUSG00000017679,Ttpal,protein_coding,642,667,573,677
ENSMUSG00000028796,Phc2,protein_coding,417,543,661,701
ENSMUSG00000028756,Pink1,protein_coding,140,181,274,238
ENSMUSG00000030180,Kdm5a,protein_coding,1116,1090,871,1307
ENSMUSG00000030357,Fkbp4,protein_coding,481,429,557,742
ENSMUSG00000002948,Map2k7,protein_coding,273,341,419,482
ENSMUSG00000031537,Ikbkb,protein_coding,661,1083,1113,1367
ENSMUSG00000055553,Kxd1,protein_coding,242,220,190,196
ENSMUSG00000006585,Cdt1,protein_coding,205,178,237,370
ENSMUSG00000063856,Gpx1,protein_coding,679,577,601,522
ENSMUSG00000024271,Elp2,protein_coding,211,191,136,201
ENSMUSG00000099757,BE692007,processed_transcript,217,303,346,437
ENSMUSG00000032870,Smap2,protein_coding,1372,1446,1755,1960
ENSMUSG00000046364,Rpl27a,protein_coding,1287,1132,1102,1272
ENSMUSG00000032002,Dcun1d5,protein_coding,117,191,222,277
ENSMUSG00000058587,Tmod3,protein_coding,1270,1050,999,1272
ENSMUSG00000042197,Zfp451,protein_coding,288,316,221,318
ENSMUSG00000026353,Ubxn4,protein_coding,316,343,465,486
ENSMUSG00000020077,Srgn,protein_coding,930,781,1090,1255
ENSMUSG00000003348,Mob3a,protein_coding,219,174,141,185
