Gene_ID,gene_symbol,gene_type,CTCFBSKO_rep4,CTCFBSKO_rep5,WT_rep4,WT_rep5
ENSMUSG00000065468,Mir26b,miRNA,0,0,1,0
ENSMUSG00000026175,Vil1,protein_coding,0,2,1,2
ENSMUSG00000103227,Gm37733,TEC,0,0,7,7
ENSMUSG00000026174,Rqcd1,protein_coding,121,94,83,140
ENSMUSG00000026173,Plcd4,protein_coding,0,7,8,5
ENSMUSG00000026135,Zfp142,protein_coding,112,189,194,225
ENSMUSG00000093155,Gm25035,miRNA,0,0,0,3
ENSMUSG00000026172,Bcs1l,protein_coding,38,22,45,34
ENSMUSG00000026171,Rnf25,protein_coding,74,104,105,129
ENSMUSG00000033276,Stk36,protein_coding,0,9,5,6
ENSMUSG00000026170,Cyp27a1,protein_coding,7,28,56,33
ENSMUSG00000006542,Prkag3,protein_coding,0,0,3,3
ENSMUSG00000026167,Wnt10a,protein_coding,27,24,9,39
ENSMUSG00000006546,Cryba2,protein_coding,0,0,3,0
ENSMUSG00000047021,Ccdc108,protein_coding,2,1,4,0
ENSMUSG00000006538,Ihh,protein_coding,0,0,1,0
ENSMUSG00000026162,Nhej1,protein_coding,5,9,5,8
ENSMUSG00000026205,Slc23a3,protein_coding,0,2,0,0
ENSMUSG00000026197,Zfand2b,protein_coding,60,91,111,95
ENSMUSG00000026198,Abcb6,protein_coding,0,0,1,2
ENSMUSG00000033124,Atg9a,protein_coding,36,34,44,24
ENSMUSG00000026199,Ankzf1,protein_coding,69,97,96,102
ENSMUSG00000026200,Glb1l,protein_coding,10,21,34,39
ENSMUSG00000026201,Stk16,protein_coding,68,103,100,111
ENSMUSG00000096094,A630095N17Rik,protein_coding,6,0,0,4
ENSMUSG00000026203,Dnajb2,protein_coding,60,93,84,157
ENSMUSG00000026204,Ptprn,protein_coding,1,3,3,11
ENSMUSG00000026209,Dnpep,protein_coding,84,133,111,110
ENSMUSG00000026208,Des,protein_coding,0,1,0,0
ENSMUSG00000026207,Speg,protein_coding,0,0,0,3
ENSMUSG00000033021,Gmppa,protein_coding,46,85,68,85
ENSMUSG00000033007,Asic4,protein_coding,1,1,3,1
ENSMUSG00000102605,Gm37264,TEC,0,1,0,0
ENSMUSG00000032997,Chpf,protein_coding,37,43,50,54
ENSMUSG00000026211,Obsl1,protein_coding,5,1,1,1
ENSMUSG00000051703,Tmem198,protein_coding,4,0,5,4
ENSMUSG00000006576,Slc4a3,protein_coding,17,18,17,32
ENSMUSG00000083244,Gm15180,processed_pseudogene,11,2,0,1
ENSMUSG00000082528,Gm15182,processed_pseudogene,0,2,0,0
ENSMUSG00000082012,Gm5257,processed_pseudogene,6,5,3,4
ENSMUSG00000100827,Gm29069,lincRNA,0,0,5,0
ENSMUSG00000026235,Epha4,protein_coding,1,0,3,0
ENSMUSG00000004872,Pax3,protein_coding,0,0,0,2
ENSMUSG00000032908,Sgpp2,protein_coding,31,28,16,31
ENSMUSG00000099561,Gm28410,antisense,0,0,1,0
ENSMUSG00000026245,Farsb,protein_coding,219,129,93,171
ENSMUSG00000101798,Gm28995,unprocessed_pseudogene,0,1,0,0
ENSMUSG00000104018,4833412K13Rik,TEC,0,2,8,6
ENSMUSG00000090486,BC035947,protein_coding,0,0,0,1
ENSMUSG00000012187,Mogat1,protein_coding,3,2,12,2
ENSMUSG00000099364,5730419F03Rik,lincRNA,0,0,2,0
ENSMUSG00000032883,Acsl3,protein_coding,32,51,71,52
ENSMUSG00000079470,Utp14b,protein_coding,96,97,113,150
ENSMUSG00000099377,Gm6159,processed_pseudogene,0,0,2,1
ENSMUSG00000072978,Gm5830,processed_pseudogene,0,1,1,0
ENSMUSG00000099562,Gm19027,processed_pseudogene,0,0,0,1
ENSMUSG00000054702,Ap1s3,protein_coding,140,132,150,127
ENSMUSG00000102235,Gm37886,TEC,0,7,0,7
ENSMUSG00000073643,Wdfy1,protein_coding,79,61,62,100
ENSMUSG00000104497,Gm10555,TEC,0,1,0,0
ENSMUSG00000026248,Mrpl44,protein_coding,24,38,51,47
ENSMUSG00000026249,Serpine2,protein_coding,0,5,2,2
ENSMUSG00000067106,Gm5529,processed_pseudogene,1,0,4,3
ENSMUSG00000096297,Gm23934,snRNA,1,0,0,0
ENSMUSG00000043230,Fam124b,protein_coding,0,2,0,0
ENSMUSG00000103404,Gm37932,TEC,0,0,0,2
ENSMUSG00000103076,Gm37902,TEC,12,14,5,12
ENSMUSG00000103525,Gm37262,TEC,11,4,8,5
ENSMUSG00000103192,Gm37645,TEC,0,0,1,3
ENSMUSG00000104488,Gm38062,TEC,3,3,7,8
ENSMUSG00000102721,A630081D01Rik,TEC,15,5,5,10
ENSMUSG00000099949,Gm29124,processed_pseudogene,0,0,1,0
ENSMUSG00000099918,Gm28066,processed_pseudogene,0,0,4,0
ENSMUSG00000054976,Nyap2,protein_coding,0,2,0,1
ENSMUSG00000101986,Gm6198,processed_pseudogene,0,0,1,1
ENSMUSG00000100561,Gm7516,processed_pseudogene,3,1,1,5
ENSMUSG00000103571,Gm37114,TEC,0,3,0,1
ENSMUSG00000055980,Irs1,protein_coding,6,10,0,7
ENSMUSG00000026142,Rhbdd1,protein_coding,54,54,30,75
ENSMUSG00000104493,Gm19552,TEC,6,4,0,4
ENSMUSG00000100786,Gm28940,antisense,3,0,0,1
ENSMUSG00000067158,Col4a4,protein_coding,2,8,5,6
ENSMUSG00000079465,Col4a3,protein_coding,5,4,3,5
ENSMUSG00000097564,C430014B12Rik,processed_transcript,0,3,1,0
ENSMUSG00000101450,Gm28941,sense_intronic,2,8,0,0
ENSMUSG00000026149,Tm4sf20,protein_coding,0,3,2,1
ENSMUSG00000101784,Gm7553,processed_pseudogene,0,0,1,0
ENSMUSG00000053161,Daw1,protein_coding,0,0,1,0
ENSMUSG00000026163,Sphkap,protein_coding,0,5,4,0
ENSMUSG00000079140,Gm6374,processed_pseudogene,0,1,0,5
ENSMUSG00000104374,Gm37517,TEC,1,0,1,0
ENSMUSG00000045658,Pid1,protein_coding,0,1,1,11
ENSMUSG00000036766,Dner,protein_coding,0,0,2,0
ENSMUSG00000104396,Gm37959,TEC,1,0,0,0
ENSMUSG00000102481,Gm37925,TEC,0,1,0,0
ENSMUSG00000103505,Gm38374,TEC,1,6,2,2
ENSMUSG00000104503,Gm37738,TEC,10,4,9,11
ENSMUSG00000073633,Fbxo36,protein_coding,1,0,1,0
ENSMUSG00000026220,Slc16a14,protein_coding,0,2,0,0
ENSMUSG00000099693,Gm29284,unprocessed_pseudogene,0,0,2,1
ENSMUSG00000052477,C130026I21Rik,protein_coding,21,11,17,19
ENSMUSG00000064281,Rpl19-ps1,processed_pseudogene,44,38,27,29
ENSMUSG00000061852,Gm7582,unprocessed_pseudogene,0,1,0,3
ENSMUSG00000089976,Gm2389,unprocessed_pseudogene,0,0,0,1
ENSMUSG00000101279,Gm18342,unprocessed_pseudogene,0,5,1,0
ENSMUSG00000089844,A530032D15Rik,protein_coding,19,38,35,22
ENSMUSG00000072109,A530040E14Rik,antisense,67,48,79,91
ENSMUSG00000090128,Gm16038,unprocessed_pseudogene,0,0,1,0
ENSMUSG00000089763,Gm2635,processed_pseudogene,0,0,1,0
ENSMUSG00000089716,Gm6264,transcribed_unprocessed_pseudogene,0,1,3,7
ENSMUSG00000079457,Gm7609,transcribed_unprocessed_pseudogene,22,11,4,1
ENSMUSG00000090252,Gm16028,antisense,0,3,0,0
ENSMUSG00000079455,Gm16026,transcribed_unprocessed_pseudogene,20,26,27,32
ENSMUSG00000091199,Gm2619,transcribed_unprocessed_pseudogene,0,2,0,1
ENSMUSG00000096292,Gm2666,processed_pseudogene,2,1,0,0
ENSMUSG00000101751,Gm2427,unprocessed_pseudogene,2,0,0,0
ENSMUSG00000089714,Gm16092,lincRNA,0,3,0,0
ENSMUSG00000090186,Gm7592,transcribed_unprocessed_pseudogene,8,7,4,3
ENSMUSG00000090103,Gm16094,antisense,3,15,11,5
ENSMUSG00000073628,Gm10552,antisense,56,39,65,51
ENSMUSG00000090246,Gm17017,antisense,1,14,1,5
ENSMUSG00000026223,Itm2c,protein_coding,4,19,20,21
ENSMUSG00000026224,4933407L21Rik,protein_coding,0,0,0,1
ENSMUSG00000049608,Gpr55,protein_coding,1,3,15,0
ENSMUSG00000099342,Gm18180,processed_pseudogene,0,4,0,0
ENSMUSG00000026227,2810459M11Rik,protein_coding,0,0,0,1
ENSMUSG00000077274,Gm22786,snoRNA,5,6,9,8
ENSMUSG00000026228,Htr2b,protein_coding,11,5,3,0
ENSMUSG00000103272,Gm37914,TEC,0,0,2,1
ENSMUSG00000062590,Armc9,protein_coding,32,75,49,67
ENSMUSG00000087538,Gm16341,antisense,25,10,30,28
ENSMUSG00000079445,B3gnt7,protein_coding,9,18,63,88
ENSMUSG00000101853,Gm28627,processed_pseudogene,2,0,0,0
ENSMUSG00000064823,Snord82,snoRNA,55,59,38,63
ENSMUSG00000073627,C130036L24Rik,processed_transcript,16,18,11,23
ENSMUSG00000026237,Nmur1,protein_coding,0,0,2,0
ENSMUSG00000036574,1700019O17Rik,protein_coding,0,0,3,0
ENSMUSG00000026239,Pde6d,protein_coding,66,41,24,67
ENSMUSG00000102927,Gm37152,TEC,6,7,0,4
ENSMUSG00000026240,Cops7b,protein_coding,25,88,91,62
ENSMUSG00000026241,Nppc,protein_coding,0,0,0,2
ENSMUSG00000053333,Dis3l2,protein_coding,93,104,113,151
ENSMUSG00000100225,Gm29097,processed_pseudogene,0,2,1,0
ENSMUSG00000100768,Gm29055,sense_intronic,0,1,0,0
ENSMUSG00000104121,Gm37485,TEC,0,4,3,1
ENSMUSG00000102383,Gm38142,TEC,11,4,6,2
ENSMUSG00000104400,Gm38010,TEC,1,0,0,3
ENSMUSG00000102293,Gm37541,TEC,0,0,0,1
ENSMUSG00000084106,Gm6136,processed_pseudogene,12,17,7,9
ENSMUSG00000102571,Gm37967,TEC,0,0,0,3
ENSMUSG00000102956,Gm37017,TEC,0,0,0,4
ENSMUSG00000103984,Gm37447,TEC,13,6,6,21
ENSMUSG00000101625,Gm29371,lincRNA,0,1,0,0
ENSMUSG00000079440,Alpi,protein_coding,0,0,1,0
ENSMUSG00000099839,Gm29374,lincRNA,0,0,5,0
ENSMUSG00000026247,Ecel1,protein_coding,0,2,0,0
ENSMUSG00000036480,Prss56,protein_coding,0,1,0,0
ENSMUSG00000026251,Chrnd,protein_coding,0,2,5,0
ENSMUSG00000026253,Chrng,protein_coding,0,1,1,0
ENSMUSG00000088318,Gm26187,snRNA,0,0,0,1
ENSMUSG00000026255,Efhd1,protein_coding,0,0,7,0
ENSMUSG00000079436,Kcnj13,protein_coding,0,0,3,2
ENSMUSG00000026259,Ngef,protein_coding,0,4,3,0
ENSMUSG00000079434,Neu2,protein_coding,0,0,0,1
ENSMUSG00000090994,Gm6153,processed_pseudogene,0,4,0,4
ENSMUSG00000087968,Gm25395,scaRNA,133,105,132,88
ENSMUSG00000089281,Scarna6,scaRNA,60,70,69,51
ENSMUSG00000056055,Sag,protein_coding,12,15,18,6
ENSMUSG00000101942,Gm19582,antisense,28,18,18,24
ENSMUSG00000103996,4833421G17Rik,TEC,1,7,8,10
ENSMUSG00000103591,Gm38365,TEC,19,22,36,43
ENSMUSG00000005501,Usp40,protein_coding,69,133,113,144
ENSMUSG00000090175,Ugt1a9,protein_coding,0,0,0,1
ENSMUSG00000089675,Ugt1a8,protein_coding,0,1,0,0
ENSMUSG00000090124,Ugt1a7c,protein_coding,3,0,0,1
ENSMUSG00000084195,Gm15372,unprocessed_pseudogene,0,1,0,0
ENSMUSG00000082677,Gm15371,unprocessed_pseudogene,0,0,1,0
ENSMUSG00000081488,Gm15368,unprocessed_pseudogene,0,1,0,0
ENSMUSG00000089960,Ugt1a1,protein_coding,0,0,0,1
ENSMUSG00000079429,Mroh2a,protein_coding,9,38,20,28
ENSMUSG00000036251,Trpm8,protein_coding,0,2,0,0
ENSMUSG00000085420,4930453O03Rik,antisense,0,0,0,1
ENSMUSG00000026295,Spp2,protein_coding,0,0,1,2
ENSMUSG00000104057,Gm38130,TEC,0,1,0,0
ENSMUSG00000049866,Arl4c,protein_coding,36,14,27,51
ENSMUSG00000036206,Sh3bp4,protein_coding,0,1,5,1
ENSMUSG00000102083,Gm5259,processed_pseudogene,1,4,1,1
ENSMUSG00000055013,Agap1,protein_coding,12,2,0,6
ENSMUSG00000104114,Gm37297,TEC,0,1,0,0
ENSMUSG00000088371,Gm25180,rRNA,0,0,0,1
ENSMUSG00000102009,4933400F21Rik,processed_transcript,4,0,0,3
ENSMUSG00000034486,Gbx2,protein_coding,0,2,2,0
ENSMUSG00000067081,Asb18,protein_coding,1,3,2,0
ENSMUSG00000026301,Iqca,protein_coding,0,0,1,4
ENSMUSG00000044337,Ackr3,protein_coding,14,4,8,12
ENSMUSG00000101028,Gm28723,lincRNA,0,0,0,7
ENSMUSG00000034432,Cops8,protein_coding,108,103,118,133
ENSMUSG00000048126,Col6a3,protein_coding,0,1,10,0
ENSMUSG00000026304,Rab17,protein_coding,0,1,1,1
ENSMUSG00000070732,Rbm44,protein_coding,0,1,4,2
ENSMUSG00000034353,Ramp1,protein_coding,0,0,0,5
ENSMUSG00000034343,Ube2f,protein_coding,107,124,78,94
ENSMUSG00000083064,Gm7785,processed_pseudogene,0,2,4,4
ENSMUSG00000097285,Gm26683,lincRNA,0,1,0,5
ENSMUSG00000026307,Scly,protein_coding,98,80,63,95
ENSMUSG00000049515,Espnl,protein_coding,0,3,2,1
